Country,SA01.tennis,SA02.cycle,SA03.ride,SA05.swim,SA17.shop,SA18.concert,SA19.sight,SA21.museum
Austria (Vienna),0.0379609544468547,0.18763557483731,0.0130151843817787,0.414316702819957,0.0856832971800434,0.0162689804772234,0.163774403470716,0.0574837310195228
Austria (other),0.0398912058023572,0.199456029011786,0.00543970988213962,0.389845874886673,0.113327289211242,0.0253853127833182,0.211242067089755,0.0679963735267452
Belgium,0.0134328358208955,0.1,0.00597014925373134,0.317910447761194,0.183582089552239,0.0447761194029851,0.304477611940298,0.0865671641791045
Denmark,0.0191938579654511,0.0806142034548944,0,0.374280230326296,0.257197696737044,0.0268714011516315,0.36084452975048,0.0786948176583493
France,0.018957345971564,0.0710900473933649,0.00157977883096367,0.251184834123223,0.156398104265403,0.0853080568720379,0.421800947867299,0.175355450236967
Germany,0.0180389874890893,0.155949956357288,0.00989234797788769,0.330811754437009,0.133837649112598,0.0276403840558627,0.300261856270003,0.0835030549898167
Hungary,0.0247191011235955,0.159550561797753,0.0134831460674157,0.485393258426966,0.143820224719101,0.0157303370786517,0.391011235955056,0.159550561797753
Italy,0.0284495021337127,0.119487908961593,0.00711237553342817,0.254623044096728,0.197724039829303,0.0540540540540541,0.460881934566145,0.254623044096728
Netherlands,0.0217627856365615,0.147986942328618,0.00108813928182807,0.341675734494015,0.200217627856366,0.0282916213275299,0.304678998911861,0.072905331882481
Spain,0.00404858299595142,0.0283400809716599,0,0.101214574898785,0.226720647773279,0.0728744939271255,0.813765182186235,0.404858299595142
Sweden,0.0121951219512195,0.0731707317073171,0.0024390243902439,0.390243902439024,0.175609756097561,0.0292682926829268,0.365853658536585,0.0658536585365854
Switzerland,0.0434782608695652,0.161684782608696,0.0122282608695652,0.361413043478261,0.137228260869565,0.03125,0.210597826086957,0.0516304347826087
UK,0.0110837438423645,0.0566502463054187,0.00246305418719212,0.217980295566502,0.253694581280788,0.0443349753694581,0.427339901477833,0.0911330049261084
USA,0.00597609561752988,0.0358565737051793,0.00199203187250996,0.135458167330677,0.278884462151394,0.0916334661354582,0.631474103585657,0.270916334661355
other,0.012853470437018,0.0796915167095116,0,0.308483290488432,0.231362467866324,0.0565552699228792,0.539845758354756,0.22879177377892
